Swedish,English 
Det var inte nödvändigt att han skulle ta med ett paraply.,It wasn't necessary for him to bring an umbrella.
Om det var han så kunde han gjort sämre ifrån sig.,For his part he could have done worse.
Han visste inte vad han skulle göra med den överblivna maten.,He didn't know what to do with the extra food.
Han vill inte att du berättar för honom om ditt sexliv.,He doesn't want you to tell him about your sex life.
Vem som än använder den här tandborsten är inte min mor.,Whoever uses this toothbrush is not my mother.
Jag trodde aldrig att ett såhär fint hotell skulle finnas på en sådan här plats.,I never expected this fine hotel to be found in such a place.
"Vi uppfattar inte saker som dom är, utan som vi är.","We don't see things as they are, but as we are."
Tom sa att han läste en bok om det här skeppet.,Tom said he read a book about this ship.
Du såg hunden som tillhör den man som jag flirtade med.,You saw the dog that belonged to the man I was flirting with.
"Eftersom jag hade träffat honom en gång innan, kände jag genast igen honom.","Since I had met him once before, I recognized him right away."
Det står en man med en pistol i handen i dörren.,There's a man with a gun in his hand standing at the door.
Alla har rätt till sin egen åsikt. Men ibland är det bättre att hålla den för sig själv.,"Everybody has a right to his own opinion. However, sometimes it's better not to tell anybody what that opinion is."
"Jag har varit död förr, och det var inte så illa.","I've been dead before, and it wasn't too bad."
Han vill inte att du berättar för honom om ert sexliv.,He doesn't want you to tell him about your sex life.
Han vill inte att ni berättar för honom om ert sexliv.,He doesn't want you to tell him about your sex life.
Jag sprang så snabbt jag kunde för att hinna med tåget.,I ran as fast as I could to catch the train.
Det står en man med en pistol i handen vid dörren.,There's a man with a gun in his hand standing at the door.
Jag måste gå och handla. Jag är tillbaka om en timme.,I have to go shopping. I'll be back in an hour.
Han sa att han hade köpt den boken där dagen innan.,He said he had bought that book there the day before.
Jag hoppas att vädret klarnar upp innan vi ger oss av.,I hope the weather clears up before we have to leave.
"Jag lånade honom lite pengar, men har inte återbetalat dem än.","I lent him some money, but he hasn't returned it yet."
Jag vill ha en båt som kan ta mig långt härifrån.,I want a boat that'll take me far away from here.
En mans ansikte är hans självbiografi. En kvinnas ansikte är hennes skönlitterära verk.,A man's face is his autobiography. A woman's face is her work of fiction.
Han lärde sig att skriva siffror innan han kom till skolan.,He learned to write numerals before go to school.
Jag lärde mig att cykla när jag var sex år gammal.,I learned how to ride a bike when I was six years old.
Stunden kommer att komma då du känner dig skyldig för det.,The time will come when you will be sorry for it.
Jag hade pluggat engelska i två timmar när han kom in.,I had been studying English for two hours when he came in.
"Ju mer jag lyssnar på henne, desto mindre gillar jag henne.","The longer I listen to her, the less I like her."
Tom visste inte vad det var meningen att han skulle göra.,Tom didn't know what he was supposed to do.
Det är ingen idé att prata med honom. Han lyssnar aldrig.,It is no use talking to him. He never listens.
Jag visste att han försökte använda pengarna till att bli guvernör.,I knew that he was trying to use that money to become governor.
Jag hoppas att det här är början på en vacker vänskap.,I hope this is the beginning of a beautiful friendship.
"Det var svalt och skönt, men nu börjar det bli kallt.","It was nice and cool, but it is getting cold now."
Hon hade precis börjat läsa boken när någon knackade på dörren.,She'd just begun to read the book when someone knocked on the door.
Det går inte att förutsäga vad som kommer hända nästa år.,There is no telling what may happen next year.
Hur många dagar gammal var jag när den här bilden togs?,How many days old was I when this picture was taken?
Jag vill inte att det ska finnas några lögner mellan oss.,I don't want there to be any lies between us.
I Japan behöver vi sätta på ett sextiotvåyenfrimärke på ett brev.,In Japan we have to put a sixty-two yen stamp on a letter.
Det är just den här ordboken som jag har letat efter.,This is the very dictionary that I have been looking for.
Ena sidan av ett mynt kallas för 'krona' och den andra kallas för 'klave'.,One side of a coin is called 'heads' and the other side is called 'tails'.
Igår var han väldigt sjuk men idag mår han mycket bättre.,"Yesterday he was seriously ill, but today he is much better."
Jag orkar inte mer! Jag har inte sovit på tre dagar!,I'm energyless! I haven't slept for three days!
Kan du ta hand om våra husdjur medan vi är borta?,Will you look after our pets while we are away?
Jeg vet inte om han kommer att besöka oss nästa söndag.,I don't know if he will visit us next Sunday.
Kan ni ta hand om våra husdjur medan vi är borta?,Will you look after our pets while we are away?
Hans systrar så väl som han själv bor nu i Kyoto.,His sisters as well as he are now living in Kyoto.
En dator är inte mer levande än vad en klocka är.,A computer is no more alive than a clock is.
"Låt inte folk göra dig galen över pengar, hår och kläder.","Don't let people make you crazy about money, hair and clothes."
Du är den sista personen jag förväntade mig att träffa här.,You are the last person I would have expected to see here.
Du är den sista personen jag förväntade mig att träffa här.,You are the last person whom I expected to meet here.
Det här kommer att bli den varmaste sommaren på trettiosex år.,This is going to be the hottest summer in thirty-six years.
När det regnar såhär får vi aldrig en chans att gå!,"With it raining like this, we'll never be able to leave."
När han åker till Europa kommer han att besöka många museer.,"When he goes to Europe, he will visit many museums."
"Vilken blomma som helst går bra, så länge den är röd.",Any flower will do as long as it's red.
"Det var kallt hela den dagen, och senare började det regna.","It was cold that day, and moreover it began to rain."
Han sprang inte tillräckligt fort nog för att hinna med tåget.,He didn't run fast enough to catch the train.
Jag minns mannens ansikte men jag kommer ej ihåg hans namn.,I remember the man's face but I can't call his name to mind.
Jag undrade bara om du har lyckats hitta någonstans att bo.,I was just wondering if you have been able to find a place to live.
Tom kan inte bestämma sig för vilken kamera han ska köpa.,Tom can't decide which camera to buy.
Om du äter för mycket kommer du att bli tjock.,"If you eat too much, you will get fat."
Jag sa inte att det inte var okej att äta.,I didn't say it wasn't OK to eat.
Det är faktiskt mycket enklare än vad det ser ut.,It's actually a lot of easier than it looks.
Jag blev tvungen att vänta i tjugo minuter på nästa bus.,I had to wait twenty minutes for the next bus.
Tom gjorde faktiskt det han sa att han skulle göra.,Tom actually did what he said he would do.
"Jag förklarade det för honom, bara för att förvirra honom.","I explained it to him, only to make him confused."
Jag tog det förgivet att hon skulle hålla med mig.,I took it for granted that she would agree with me.
Engelska kommer att ta dig en lång tid att bemästra.,English will take you a long time to master.
Du kan komma och se mig närhelst det passar dig.,You can come and see me whenever it's convenient for you.
Hon såg fram emot att gå på bio med honom.,She was looking forward to going to a movie with him.
Hur långt kommer det att ta för att bli återställd?,How long will it take to get well?
Hon var fem i ett när jag gick till sängs.,It was five to one when I got to bed.
Klockan var fem i ett när jag gick till sängs.,It was five to one when I got to bed.
Mannen som hon ska gifta sig med är en astronaut.,The man whom she is going to marry is an astronaut.
Jag läser inte så många böcker som jag gjorde tidigare.,I don't read as many books as I used to.
Du borde se den här filmen om du får chansen.,You should see this film if you get the opportunity.
Jag skjuter upp min resa till Skottland tills det blir varmare.,I'll postpone my trip to Scotland until it's warmer.
Ung som han är kan han arbeta hela dagen lång.,"Being young, he can work all day long."
Kaffet var så varmt så jag inte kunde dricka det.,The coffee was so hot that I couldn't drink it.
Hon kunde inte hindra sin dotter från att gå ut.,She could not keep her daughter from going out.
När jag tänker på de där eleverna får jag huvudverk.,"When I think about those students, it gives me a headache."
Vare sig du lyckas eller inte beror på dina egna ansträngningar.,Whether you will succeed or not depends upon your own exertions.
